,transcript,id,tissue,expr,SE,lb,ub,PAN.LIV_q,PAN.KID_q,KID.LIV_q,PAN.LIV.KID_q,shortName,gene,GO,geneLink,transcriptLink
11,uc007aez,11,pancreas,1.1,0.07,1.03,1.16,0.126119964,0.003095509,0.39956677,0.064403459,Sox17,Sox17,"negative regulation of transcription from RNA polymerase II promoter|sequence-specific DNA binding RNA polymerase II transcription factor activity|angiogenesis|vasculogenesis|endoderm formation|inner cell mass cellular morphogenesis|heart looping|cardiogenic plate morphogenesis|embryonic heart tube morphogenesis|outflow tract morphogenesis|negative regulation of Wnt signaling pathway involved in heart development|DNA binding|sequence-specific DNA binding transcription factor activity|RNA polymerase II distal enhancer sequence-specific DNA binding transcription factor activity|transcription coactivator activity|protein binding|nucleus|nucleus|transcription factor complex|transcription, DNA-templated|regulation of transcription, DNA-templated|transcription from RNA polymerase II promoter|spermatogenesis|gastrulation|endoderm development|endodermal cell fate determination|beta-catenin binding|transcription factor binding|positive regulation of gene expression|Wnt signaling pathway|rostrocaudal neural tube patterning|signal transduction involved in regulation of gene expression|negative regulation of Wnt signaling pathway|negative regulation of Wnt signaling pathway|negative regulation of cell growth|protein destabilization|embryonic heart tube development|cell migration involved in gastrulation|regulation of mesodermal cell fate specification|negative regulation of mesodermal cell fate specification|mRNA transcription from RNA polymerase II promoter|sequence-specific DNA binding|transcription regulatory region DNA binding|nuclear transcription factor complex|regulation of cell differentiation|positive regulation of cell differentiation|positive regulation of cell differentiation|positive regulation of protein catabolic process|positive regulation of transcription, DNA-templated|positive regulation of transcription from RNA polymerase II promoter|positive regulation of transcription from RNA polymerase II promoter|regulation of embryonic development|protein heterodimerization activity|embryonic organ development|embryonic foregut morphogenesis|positive regulation of skeletal muscle tissue development|stem cell differentiation|stem cell fate specification|protein stabilization|canonical Wnt signaling pathway|endocardium formation|regulation of transcription from RNA polymerase II promoter involved in definitive endodermal cell fate specification|cardiac cell fate determination|endocardial cell differentiation|common bile duct development|gall bladder development|endodermal digestive tract morphogenesis|renal system development|regulation of stem cell proliferation|negative regulation of canonical Wnt signaling pathway|regulation of stem cell division|regulation of cardiac cell fate specification|",<a href = 'http://www.ncbi.nlm.nih.gov/gene/20671' target = '_blank'>Sox17</a>,<a href = 'https://genome.ucsc.edu/cgi-bin/hgGene?hgg_gene=uc007aez.2' target = '_blank'>uc007aez</a>
12,uc007aff,12,pancreas,11.21,0.22,10.99,11.43,0.025797491,5.55E-08,3.64E-09,6.04E-08,Mrpl15,Mrpl15,mitochondrial genome maintenance|structural constituent of ribosome|mitochondrion|mitochondrion|mitochondrial large ribosomal subunit|ribosome|translation|large ribosomal subunit|ribonucleoprotein complex|poly(A) RNA binding|,<a href = 'http://www.ncbi.nlm.nih.gov/gene/27395' target = '_blank'>Mrpl15</a>,<a href = 'https://genome.ucsc.edu/cgi-bin/hgGene?hgg_gene=uc007aff.3' target = '_blank'>uc007aff</a>
13,uc007afd,13,pancreas,11.63,0.41,11.23,12.04,0.057154014,5.42E-06,9.14E-10,1.03E-08,Mrpl15,Mrpl15,mitochondrial genome maintenance|structural constituent of ribosome|mitochondrion|mitochondrion|mitochondrial large ribosomal subunit|ribosome|translation|large ribosomal subunit|ribonucleoprotein complex|poly(A) RNA binding|,<a href = 'http://www.ncbi.nlm.nih.gov/gene/27395' target = '_blank'>Mrpl15</a>,<a href = 'https://genome.ucsc.edu/cgi-bin/hgGene?hgg_gene=uc007afd.3' target = '_blank'>uc007afd</a>
14,uc007afg,14,pancreas,12.03,0.26,11.78,12.29,0.829921044,0.002330614,0.001430535,4.44E-05,Lypla1,Lypla1,"protein depalmitoylation|lysophospholipase activity|cytoplasm|mitochondrion|cytosol|lipid metabolic process|fatty acid metabolic process|palmitoyl-(protein) hydrolase activity|CoA hydrolase activity|hydrolase activity|2-oxoglutaryl-CoA thioesterase activity|2,4,4-trimethyl-3-oxopentanoyl-CoA thioesterase activity|3-isopropylbut-3-enoyl-CoA thioesterase activity|negative regulation of Golgi to plasma membrane protein transport|glutaryl-CoA hydrolase activity|acyl-CoA hydrolase activity|extracellular vesicular exosome|",<a href = 'http://www.ncbi.nlm.nih.gov/gene/18777' target = '_blank'>Lypla1</a>,<a href = 'https://genome.ucsc.edu/cgi-bin/hgGene?hgg_gene=uc007afg.1' target = '_blank'>uc007afg</a>
15,uc007afh,15,pancreas,24.67,0.62,24.04,25.29,0.912793149,0.901765078,0.004523592,0.000345117,Lypla1,Lypla1,"protein depalmitoylation|lysophospholipase activity|cytoplasm|mitochondrion|cytosol|lipid metabolic process|fatty acid metabolic process|palmitoyl-(protein) hydrolase activity|CoA hydrolase activity|hydrolase activity|2-oxoglutaryl-CoA thioesterase activity|2,4,4-trimethyl-3-oxopentanoyl-CoA thioesterase activity|3-isopropylbut-3-enoyl-CoA thioesterase activity|negative regulation of Golgi to plasma membrane protein transport|glutaryl-CoA hydrolase activity|acyl-CoA hydrolase activity|extracellular vesicular exosome|",<a href = 'http://www.ncbi.nlm.nih.gov/gene/18777' target = '_blank'>Lypla1</a>,<a href = 'https://genome.ucsc.edu/cgi-bin/hgGene?hgg_gene=uc007afh.1' target = '_blank'>uc007afh</a>
16,uc011wht,16,pancreas,3.31,0.16,3.15,3.47,0.130240552,0.004494649,0.001679069,0.000359901,Tcea1,Tcea1,"nucleic acid binding|DNA binding|protein binding|nucleus|nucleoplasm|nucleolus|transcription, DNA-templated|regulation of transcription, DNA-templated|regulation of transcription from RNA polymerase II promoter|zinc ion binding|erythrocyte differentiation|regulation of DNA-templated transcription, elongation|positive regulation of transcription, DNA-templated|positive regulation of transcription from RNA polymerase II promoter|metal ion binding|",<a href = 'http://www.ncbi.nlm.nih.gov/gene/21399' target = '_blank'>Tcea1</a>,<a href = 'https://genome.ucsc.edu/cgi-bin/hgGene?hgg_gene=uc011wht.1' target = '_blank'>uc011wht</a>
17,uc007afi,17,pancreas,3.31,0.16,3.15,3.47,0.130240552,0.004494649,0.001679069,0.00036322,Tcea1,Tcea1,"nucleic acid binding|DNA binding|protein binding|nucleus|nucleoplasm|nucleolus|transcription, DNA-templated|regulation of transcription, DNA-templated|regulation of transcription from RNA polymerase II promoter|zinc ion binding|erythrocyte differentiation|regulation of DNA-templated transcription, elongation|positive regulation of transcription, DNA-templated|positive regulation of transcription from RNA polymerase II promoter|metal ion binding|",<a href = 'http://www.ncbi.nlm.nih.gov/gene/21399' target = '_blank'>Tcea1</a>,<a href = 'https://genome.ucsc.edu/cgi-bin/hgGene?hgg_gene=uc007afi.2' target = '_blank'>uc007afi</a>
18,uc007afe,18,pancreas,10.67,0.33,10.33,11,0.065681308,3.80E-06,1.49E-09,2.48E-08,Mrpl15,Mrpl15,mitochondrial genome maintenance|structural constituent of ribosome|mitochondrion|mitochondrion|mitochondrial large ribosomal subunit|ribosome|translation|large ribosomal subunit|ribonucleoprotein complex|poly(A) RNA binding|,<a href = 'http://www.ncbi.nlm.nih.gov/gene/27395' target = '_blank'>Mrpl15</a>,<a href = 'https://genome.ucsc.edu/cgi-bin/hgGene?hgg_gene=uc007afe.3' target = '_blank'>uc007afe</a>
19,NM_001290372(ref,19,pancreas,0.05,0.01,0.04,0.07,0.884825693,0.060801211,0.192967565,0.220526471,NA,NA,NA,NA,NA
20,uc007afk,20,pancreas,0.05,0.01,0.04,0.07,0.884825693,0.060801211,0.192967565,0.220526471,Rgs20,Rgs20,GTPase activator activity|GTPase activator activity|nucleus|cytoplasm|Golgi apparatus|plasma membrane|G-protein coupled receptor signaling pathway|negative regulation of signal transduction|membrane|termination of G-protein coupled receptor signaling pathway|positive regulation of GTPase activity|,<a href = 'http://www.ncbi.nlm.nih.gov/gene/58175' target = '_blank'>Rgs20</a>,<a href = 'https://genome.ucsc.edu/cgi-bin/hgGene?hgg_gene=uc007afk.2' target = '_blank'>uc007afk</a>
21,NM_021374(refseq,21,pancreas,0.05,0.01,0.04,0.06,0.884825693,0.060801211,0.192967565,0.220526471,NA,NA,NA,NA,NA
22,uc011whu,22,pancreas,3.44,0.17,3.27,3.6,0.125452439,0.004511677,0.001733648,0.000371862,Tcea1,Tcea1,"nucleic acid binding|DNA binding|protein binding|nucleus|nucleoplasm|nucleolus|transcription, DNA-templated|regulation of transcription, DNA-templated|regulation of transcription from RNA polymerase II promoter|zinc ion binding|erythrocyte differentiation|regulation of DNA-templated transcription, elongation|positive regulation of transcription, DNA-templated|positive regulation of transcription from RNA polymerase II promoter|metal ion binding|",<a href = 'http://www.ncbi.nlm.nih.gov/gene/21399' target = '_blank'>Tcea1</a>,<a href = 'https://genome.ucsc.edu/cgi-bin/hgGene?hgg_gene=uc011whu.1' target = '_blank'>uc011whu</a>
23,uc007afm,23,pancreas,4.33,0.17,4.16,4.49,0.028781046,2.05E-05,8.05E-06,6.50E-07,Atp6v1h,Atp6v1h,"vacuolar proton-transporting V-type ATPase, V1 domain|lysosomal membrane|transport|ion transport|endocytosis|ATP hydrolysis coupled proton transport|proton transport|hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances|proton-transporting ATPase activity, rotational mechanism|extracellular vesicular exosome|",<a href = 'http://www.ncbi.nlm.nih.gov/gene/108664' target = '_blank'>Atp6v1h</a>,<a href = 'https://genome.ucsc.edu/cgi-bin/hgGene?hgg_gene=uc007afm.1' target = '_blank'>uc007afm</a>
24,uc007afn,24,pancreas,16.5,0.7,15.8,17.2,0.18268332,0.000277055,0.000194856,1.78E-05,Atp6v1h,Atp6v1h,"vacuolar proton-transporting V-type ATPase, V1 domain|lysosomal membrane|transport|ion transport|endocytosis|ATP hydrolysis coupled proton transport|proton transport|hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances|proton-transporting ATPase activity, rotational mechanism|extracellular vesicular exosome|",<a href = 'http://www.ncbi.nlm.nih.gov/gene/108664' target = '_blank'>Atp6v1h</a>,<a href = 'https://genome.ucsc.edu/cgi-bin/hgGene?hgg_gene=uc007afn.1' target = '_blank'>uc007afn</a>
25,uc007afp,25,pancreas,0,0,0,0,NA,NA,NA,NA,Oprk1,Oprk1,signal transducer activity|G-protein coupled receptor activity|opioid receptor activity|opioid receptor activity|opioid receptor activity|plasma membrane|integral component of plasma membrane|integral component of plasma membrane|immune response|signal transduction|G-protein coupled receptor signaling pathway|phospholipase C-activating G-protein coupled receptor signaling pathway|behavior|locomotory behavior|membrane|integral component of membrane|sensory perception of pain|adenylate cyclase-inhibiting opioid receptor signaling pathway|opioid receptor signaling pathway|opioid receptor signaling pathway|dynorphin receptor activity|regulation of saliva secretion|defense response to virus|,<a href = 'http://www.ncbi.nlm.nih.gov/gene/18387' target = '_blank'>Oprk1</a>,<a href = 'https://genome.ucsc.edu/cgi-bin/hgGene?hgg_gene=uc007afp.2' target = '_blank'>uc007afp</a>
26,uc007afo,26,pancreas,0,0,0,0,NA,NA,NA,NA,Oprk1,Oprk1,signal transducer activity|G-protein coupled receptor activity|opioid receptor activity|opioid receptor activity|opioid receptor activity|plasma membrane|integral component of plasma membrane|integral component of plasma membrane|immune response|signal transduction|G-protein coupled receptor signaling pathway|phospholipase C-activating G-protein coupled receptor signaling pathway|behavior|locomotory behavior|membrane|integral component of membrane|sensory perception of pain|adenylate cyclase-inhibiting opioid receptor signaling pathway|opioid receptor signaling pathway|opioid receptor signaling pathway|dynorphin receptor activity|regulation of saliva secretion|defense response to virus|,<a href = 'http://www.ncbi.nlm.nih.gov/gene/18387' target = '_blank'>Oprk1</a>,<a href = 'https://genome.ucsc.edu/cgi-bin/hgGene?hgg_gene=uc007afo.2' target = '_blank'>uc007afo</a>
27,uc007afl,27,pancreas,0.04,0.01,0.03,0.05,0.884825693,0.060801211,0.192967565,0.220526471,Rgs20,Rgs20,GTPase activator activity|GTPase activator activity|nucleus|cytoplasm|Golgi apparatus|plasma membrane|G-protein coupled receptor signaling pathway|negative regulation of signal transduction|membrane|termination of G-protein coupled receptor signaling pathway|positive regulation of GTPase activity|,<a href = 'http://www.ncbi.nlm.nih.gov/gene/58175' target = '_blank'>Rgs20</a>,<a href = 'https://genome.ucsc.edu/cgi-bin/hgGene?hgg_gene=uc007afl.2' target = '_blank'>uc007afl</a>
28,uc007afq,28,pancreas,0,0,0,0,NA,NA,NA,NA,Oprk1,Oprk1,signal transducer activity|G-protein coupled receptor activity|opioid receptor activity|opioid receptor activity|opioid receptor activity|plasma membrane|integral component of plasma membrane|integral component of plasma membrane|immune response|signal transduction|G-protein coupled receptor signaling pathway|phospholipase C-activating G-protein coupled receptor signaling pathway|behavior|locomotory behavior|membrane|integral component of membrane|sensory perception of pain|adenylate cyclase-inhibiting opioid receptor signaling pathway|opioid receptor signaling pathway|opioid receptor signaling pathway|dynorphin receptor activity|regulation of saliva secretion|defense response to virus|,<a href = 'http://www.ncbi.nlm.nih.gov/gene/18387' target = '_blank'>Oprk1</a>,<a href = 'https://genome.ucsc.edu/cgi-bin/hgGene?hgg_gene=uc007afq.2' target = '_blank'>uc007afq</a>
29,uc007afr,29,pancreas,9.07,0.29,8.78,9.35,0.150425948,0.555579838,0.00345998,0.005146298,Rb1cc1,Rb1cc1,"autophagic vacuole assembly|pre-autophagosomal structure|liver development|positive regulation of protein phosphorylation|protein binding|intracellular|nucleus|nucleus|cytoplasm|cytoplasm|transcription, DNA-templated|regulation of transcription, DNA-templated|autophagy|cell cycle|JNK cascade|heart development|regulation of autophagy|protein kinase binding|nuclear membrane|pre-autophagosomal structure membrane|ATG1/UKL1 signaling complex|negative regulation of apoptotic process|positive regulation of cell size|ULK1-ATG13-FIP200 complex|ULK1-ATG13-FIP200 complex|negative regulation of extrinsic apoptotic signaling pathway|",<a href = 'http://www.ncbi.nlm.nih.gov/gene/12421' target = '_blank'>Rb1cc1</a>,<a href = 'https://genome.ucsc.edu/cgi-bin/hgGene?hgg_gene=uc007afr.2' target = '_blank'>uc007afr</a>
30,uc011whx,30,pancreas,9.79,0.3,9.49,10.1,0.148626728,0.616536684,0.003651714,0.006178035,Rb1cc1,Rb1cc1,"autophagic vacuole assembly|pre-autophagosomal structure|liver development|positive regulation of protein phosphorylation|protein binding|intracellular|nucleus|nucleus|cytoplasm|cytoplasm|transcription, DNA-templated|regulation of transcription, DNA-templated|autophagy|cell cycle|JNK cascade|heart development|regulation of autophagy|protein kinase binding|nuclear membrane|pre-autophagosomal structure membrane|ATG1/UKL1 signaling complex|negative regulation of apoptotic process|positive regulation of cell size|ULK1-ATG13-FIP200 complex|ULK1-ATG13-FIP200 complex|negative regulation of extrinsic apoptotic signaling pathway|",<a href = 'http://www.ncbi.nlm.nih.gov/gene/12421' target = '_blank'>Rb1cc1</a>,<a href = 'https://genome.ucsc.edu/cgi-bin/hgGene?hgg_gene=uc011whx.1' target = '_blank'>uc011whx</a>
31,uc007afs,31,pancreas,5.63,0.24,5.39,5.87,0.084114617,0.304862865,0.003282881,0.007264483,Rb1cc1,Rb1cc1,"autophagic vacuole assembly|pre-autophagosomal structure|liver development|positive regulation of protein phosphorylation|protein binding|intracellular|nucleus|nucleus|cytoplasm|cytoplasm|transcription, DNA-templated|regulation of transcription, DNA-templated|autophagy|cell cycle|JNK cascade|heart development|regulation of autophagy|protein kinase binding|nuclear membrane|pre-autophagosomal structure membrane|ATG1/UKL1 signaling complex|negative regulation of apoptotic process|positive regulation of cell size|ULK1-ATG13-FIP200 complex|ULK1-ATG13-FIP200 complex|negative regulation of extrinsic apoptotic signaling pathway|",<a href = 'http://www.ncbi.nlm.nih.gov/gene/12421' target = '_blank'>Rb1cc1</a>,<a href = 'https://genome.ucsc.edu/cgi-bin/hgGene?hgg_gene=uc007afs.1' target = '_blank'>uc007afs</a>
32,uc007aft,32,pancreas,8.1,0.18,7.92,8.28,0.31647034,0.528357917,0.007366336,0.013314666,Rb1cc1,Rb1cc1,"autophagic vacuole assembly|pre-autophagosomal structure|liver development|positive regulation of protein phosphorylation|protein binding|intracellular|nucleus|nucleus|cytoplasm|cytoplasm|transcription, DNA-templated|regulation of transcription, DNA-templated|autophagy|cell cycle|JNK cascade|heart development|regulation of autophagy|protein kinase binding|nuclear membrane|pre-autophagosomal structure membrane|ATG1/UKL1 signaling complex|negative regulation of apoptotic process|positive regulation of cell size|ULK1-ATG13-FIP200 complex|ULK1-ATG13-FIP200 complex|negative regulation of extrinsic apoptotic signaling pathway|",<a href = 'http://www.ncbi.nlm.nih.gov/gene/12421' target = '_blank'>Rb1cc1</a>,<a href = 'https://genome.ucsc.edu/cgi-bin/hgGene?hgg_gene=uc007aft.2' target = '_blank'>uc007aft</a>
33,uc007afu,33,pancreas,6.69,0.23,6.47,6.92,0.338615612,0.370022657,0.020277592,0.029816689,Rb1cc1,Rb1cc1,"autophagic vacuole assembly|pre-autophagosomal structure|liver development|positive regulation of protein phosphorylation|protein binding|intracellular|nucleus|nucleus|cytoplasm|cytoplasm|transcription, DNA-templated|regulation of transcription, DNA-templated|autophagy|cell cycle|JNK cascade|heart development|regulation of autophagy|protein kinase binding|nuclear membrane|pre-autophagosomal structure membrane|ATG1/UKL1 signaling complex|negative regulation of apoptotic process|positive regulation of cell size|ULK1-ATG13-FIP200 complex|ULK1-ATG13-FIP200 complex|negative regulation of extrinsic apoptotic signaling pathway|",<a href = 'http://www.ncbi.nlm.nih.gov/gene/12421' target = '_blank'>Rb1cc1</a>,<a href = 'https://genome.ucsc.edu/cgi-bin/hgGene?hgg_gene=uc007afu.2' target = '_blank'>uc007afu</a>
34,uc007afv,34,pancreas,0,0,0,0,0.434911443,0.408534864,0.39956677,0.377751291,Fam150a,Fam150a,molecular_function|cellular_component|biological_process|,<a href = 'http://www.ncbi.nlm.nih.gov/gene/620393' target = '_blank'>Fam150a</a>,<a href = 'https://genome.ucsc.edu/cgi-bin/hgGene?hgg_gene=uc007afv.2' target = '_blank'>uc007afv</a>
35,uc007afw,35,pancreas,0,0,0,0,0.278224365,0.528894085,0.633435292,0.219764346,St18,St18,"negative regulation of transcription from RNA polymerase II promoter|negative regulation of transcription from RNA polymerase II promoter|DNA binding|DNA binding|sequence-specific DNA binding transcription factor activity|nucleus|transcription, DNA-templated|regulation of transcription, DNA-templated|zinc ion binding|metal ion binding|",<a href = 'http://www.ncbi.nlm.nih.gov/gene/240690' target = '_blank'>St18</a>,<a href = 'https://genome.ucsc.edu/cgi-bin/hgGene?hgg_gene=uc007afw.1' target = '_blank'>uc007afw</a>
36,uc007afx,36,pancreas,0,0,0,0,0.278224365,0.528894085,0.633435292,0.219764346,St18,St18,"negative regulation of transcription from RNA polymerase II promoter|negative regulation of transcription from RNA polymerase II promoter|DNA binding|DNA binding|sequence-specific DNA binding transcription factor activity|nucleus|transcription, DNA-templated|regulation of transcription, DNA-templated|zinc ion binding|metal ion binding|",<a href = 'http://www.ncbi.nlm.nih.gov/gene/240690' target = '_blank'>St18</a>,<a href = 'https://genome.ucsc.edu/cgi-bin/hgGene?hgg_gene=uc007afx.1' target = '_blank'>uc007afx</a>
37,uc029qmq,37,pancreas,0,0,0,0,NA,NA,NA,NA,uc029qmq.1,uc029qmq,,,
38,uc007aga,38,pancreas,0,0,0,0,0.278224365,0.528894085,0.633435292,0.219764346,St18,St18,"negative regulation of transcription from RNA polymerase II promoter|negative regulation of transcription from RNA polymerase II promoter|DNA binding|DNA binding|sequence-specific DNA binding transcription factor activity|nucleus|transcription, DNA-templated|regulation of transcription, DNA-templated|zinc ion binding|metal ion binding|",<a href = 'http://www.ncbi.nlm.nih.gov/gene/240690' target = '_blank'>St18</a>,<a href = 'https://genome.ucsc.edu/cgi-bin/hgGene?hgg_gene=uc007aga.1' target = '_blank'>uc007aga</a>
39,uc007afy,39,pancreas,0,0,0,0,0.278224365,0.528894085,0.633435292,0.219764346,St18,St18,"negative regulation of transcription from RNA polymerase II promoter|negative regulation of transcription from RNA polymerase II promoter|DNA binding|DNA binding|sequence-specific DNA binding transcription factor activity|nucleus|transcription, DNA-templated|regulation of transcription, DNA-templated|zinc ion binding|metal ion binding|",<a href = 'http://www.ncbi.nlm.nih.gov/gene/240690' target = '_blank'>St18</a>,<a href = 'https://genome.ucsc.edu/cgi-bin/hgGene?hgg_gene=uc007afy.1' target = '_blank'>uc007afy</a>
40,uc007afz,40,pancreas,0,0,0,0,0.278224365,0.528894085,0.633435292,0.219764346,St18,St18,"negative regulation of transcription from RNA polymerase II promoter|negative regulation of transcription from RNA polymerase II promoter|DNA binding|DNA binding|sequence-specific DNA binding transcription factor activity|nucleus|transcription, DNA-templated|regulation of transcription, DNA-templated|zinc ion binding|metal ion binding|",<a href = 'http://www.ncbi.nlm.nih.gov/gene/240690' target = '_blank'>St18</a>,<a href = 'https://genome.ucsc.edu/cgi-bin/hgGene?hgg_gene=uc007afz.1' target = '_blank'>uc007afz</a>
41,uc007agb,41,pancreas,17.84,0.6,17.24,18.44,0.26943264,0.653296782,0.169334198,0.255568477,Pcmtd1,Pcmtd1,molecular_function|protein-L-isoaspartate (D-aspartate) O-methyltransferase activity|cellular_component|cytoplasm|cellular protein modification process|biological_process|methyltransferase activity|transferase activity|methylation|,<a href = 'http://www.ncbi.nlm.nih.gov/gene/319263' target = '_blank'>Pcmtd1</a>,<a href = 'https://genome.ucsc.edu/cgi-bin/hgGene?hgg_gene=uc007agb.1' target = '_blank'>uc007agb</a>
42,uc007agc,42,pancreas,17.56,0.57,16.99,18.12,0.347102778,0.674731642,0.154242726,0.263262071,Pcmtd1,Pcmtd1,molecular_function|protein-L-isoaspartate (D-aspartate) O-methyltransferase activity|cellular_component|cytoplasm|cellular protein modification process|biological_process|methyltransferase activity|transferase activity|methylation|,<a href = 'http://www.ncbi.nlm.nih.gov/gene/319263' target = '_blank'>Pcmtd1</a>,<a href = 'https://genome.ucsc.edu/cgi-bin/hgGene?hgg_gene=uc007agc.1' target = '_blank'>uc007agc</a>
43,uc011why,43,pancreas,15.99,0.44,15.56,16.43,0.417171936,0.561451826,0.132809434,0.285090741,Pcmtd1,Pcmtd1,molecular_function|protein-L-isoaspartate (D-aspartate) O-methyltransferase activity|cellular_component|cytoplasm|cellular protein modification process|biological_process|methyltransferase activity|transferase activity|methylation|,<a href = 'http://www.ncbi.nlm.nih.gov/gene/319263' target = '_blank'>Pcmtd1</a>,<a href = 'https://genome.ucsc.edu/cgi-bin/hgGene?hgg_gene=uc011why.1' target = '_blank'>uc011why</a>
44,uc011whw,44,pancreas,0,0,0,0,NA,NA,NA,NA,Npbwr1,Npbwr1,signal transducer activity|G-protein coupled receptor activity|plasma membrane|signal transduction|G-protein coupled receptor signaling pathway|neuropeptide receptor activity|membrane|integral component of membrane|regulation of metabolic process|,<a href = 'http://www.ncbi.nlm.nih.gov/gene/226304' target = '_blank'>Npbwr1</a>,<a href = 'https://genome.ucsc.edu/cgi-bin/hgGene?hgg_gene=uc011whw.1' target = '_blank'>uc011whw</a>
45,uc007age,45,pancreas,0.05,0.02,0.03,0.07,0.85737401,0.084748854,0.609790685,0.927660161,uc007age.1,uc007age,,,
46,uc007agf,46,pancreas,0,0,0,0,0.281405329,0.408534864,0.39956677,0.377751291,uc007agf.1,uc007agf,,,
47,uc029qmr,47,pancreas,0,0,0,0,NA,NA,NA,NA,uc029qmr.1,uc029qmr,,,
48,uc029qms,48,pancreas,0,0,0,0,NA,NA,NA,NA,uc029qms.1,uc029qms,,,
49,NM_001290390(ref,49,pancreas,0.11,0.01,0.09,0.12,0.712244611,0.00010207,0.041446271,0.040689465,NA,NA,NA,NA,NA
50,NM_001290392(ref,50,pancreas,0.11,0.01,0.09,0.12,0.740160208,0.000101216,0.041446271,0.040689465,NA,NA,NA,NA,NA
